target_index,target,basis_index,basis,coefficient,nonzero,grid_validation_points,independent_probe_points,validation
14,"(-1, 1, 1, 1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)**2*(D*z - 4*D - 3*z + 16)/(4*z*(D - 4)*(D - 3)**2*(z - 4)),1,91,3,exact
14,"(-1, 1, 1, 1, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",(D - 2)**2*(5*D*z - 8*D - 18*z + 28)/(4*z*(D - 4)*(D - 3)*(2*D - 7)*(z - 4)),1,91,3,exact
14,"(-1, 1, 1, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",(D - 2)*(D - 1)/((D - 4)*(D - 3)*(z - 4)),1,91,3,exact
14,"(-1, 1, 1, 1, 1, 1, 1)",3,"(0, 0, 0, 0, 2, 0, 3)",4/(z*(D - 4)**2*(D - 3)),1,91,3,exact
14,"(-1, 1, 1, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",2*(D - 2)/((D - 4)*(z - 4)),1,91,3,exact
14,"(-1, 1, 1, 1, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",-(3*D - 8)*(D*z + 8*D - 3*z - 28)/(2*z*(D - 3)*(2*D - 7)*(z - 4)),1,91,3,exact
14,"(-1, 1, 1, 1, 1, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",-(z + 2)*(D*z + 8*D - 3*z - 28)/(z*(D - 3)*(2*D - 7)*(z - 4)),1,91,3,exact
14,"(-1, 1, 1, 1, 1, 1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",(3*D - 10)/(2*(2*D - 7)),1,91,3,exact
14,"(-1, 1, 1, 1, 1, 1, 1)",10,"(0, 1, 1, 1, 0, 1, 1)",(D - 4)/(D - 3),1,91,3,exact
14,"(-1, 1, 1, 1, 1, 1, 1)",11,"(0, 1, 1, 1, 1, 0, 2)",-2*(z - 4)/(D - 3),1,91,3,exact
