D,z,target_index,basis_index,coeff
6,1,7,2,4/3
6,1,7,4,3/2
6,1,7,5,5
6,1,7,6,8/3
6,1,8,0,-5/6
6,1,8,7,-7/4
6,1,9,1,-1/5
6,1,9,6,2/5
6,1,9,8,-21/10
6,1,10,0,-1/3
6,1,10,1,-1/3
6,1,10,2,-7/6
6,1,10,6,1/6
6,1,10,8,-3/2
6,1,11,0,5
6,1,11,1,4/3
6,1,11,2,-2
6,1,11,3,3/2
6,1,11,5,119/6
6,1,11,6,323/30
6,1,11,7,10/3
6,1,11,8,-1/5
6,1,11,9,-24/5
6,1,11,10,13
6,1,11,11,9
6,1,12,7,1
6,1,12,9,-9/5
6,1,13,0,-1/3
6,1,13,1,-8/45
6,1,13,2,2/3
6,1,13,3,-1/6
6,1,13,5,-11/6
6,1,13,6,-23/30
6,1,13,8,3/5
6,1,13,9,1
6,1,13,10,-11/3
6,1,13,11,-1
6,1,14,0,10/27
6,1,14,1,16/45
6,1,14,2,-10/9
6,1,14,3,1/3
6,1,14,4,-4/3
6,1,14,5,23/9
6,1,14,6,23/15
6,1,14,8,4/5
6,1,14,10,2/3
6,1,14,11,2
6,1,15,0,-1
6,1,15,1,1/3
6,1,15,2,-2/3
6,1,15,4,3/2
6,1,16,2,1
6,1,17,4,1
6,1,18,0,-2/3
6,1,19,1,-2/3
6,1,20,0,-1/3
6,1,20,1,-1/3
6,1,20,2,-1
6,1,21,2,-2/3
6,1,22,2,-2/3
6,1,22,4,-1
6,1,23,0,-1/6
6,1,23,2,1/2
6,1,23,5,-7/4
6,1,23,6,-3/4
6,1,24,0,-2/3
6,1,25,5,1
6,1,27,2,-2/3
6,1,27,6,-1/3
6,1,28,0,-8/9
6,1,28,2,-4/3
6,1,28,4,-1
6,1,28,5,-10/3
6,1,28,6,-2
6,1,29,1,-1/5
6,1,29,5,3/4
6,1,29,6,13/20
6,1,29,7,-3/4
6,1,29,8,-3/5
6,1,30,0,-1/18
6,1,30,1,-1/6
6,1,30,2,-1/2
6,1,30,5,5/4
6,1,30,6,3/4
6,1,30,7,-5/12
6,1,30,8,-1/2
6,1,31,7,1
6,1,33,0,4/9
6,1,33,7,5/6
6,1,34,1,-4/15
6,1,34,5,1
6,1,34,6,1/5
6,1,34,8,6/5
6,1,35,8,1
6,1,37,0,2/9
6,1,37,1,2/15
6,1,37,2,2/3
6,1,37,5,1/3
6,1,37,6,1/5
6,1,37,8,4/5
6,1,38,0,-10/9
6,1,38,1,-16/45
6,1,38,3,-1/3
6,1,38,5,-11/3
6,1,38,6,-11/5
6,1,38,7,-5/6
6,1,38,8,1/5
6,1,38,9,1
6,1,38,10,-7/3
6,1,38,11,-2
6,1,39,9,1
6,2,0,0,29/12
6,2,0,1,-14/15
6,2,0,2,-19/6
6,2,0,3,11/12
6,2,0,5,139/8
6,2,0,6,757/60
6,2,0,7,3/4
6,2,0,8,-1/5
6,2,0,9,-49/10
6,2,0,10,17
6,2,0,11,22/3
6,2,1,0,-7/6
6,2,1,1,-7/30
6,2,1,2,1/2
6,2,1,3,-1/3
6,2,1,4,9/4
6,2,1,5,-6
6,2,1,6,-43/10
6,2,1,8,-13/5
6,2,1,9,1/2
6,2,1,10,-3
6,2,1,11,-8/3
6,2,2,2,1
6,2,2,4,-1
6,2,3,0,-1/3
6,2,3,1,-1/3
6,2,3,2,2/3
6,2,4,0,-1/2
6,2,4,1,-1/2
6,2,4,2,-1/2
6,2,4,4,3/2
6,2,5,0,-1/12
6,2,5,2,7/6
6,2,5,5,-7/8
6,2,5,6,1/12
6,2,6,0,-1/3
6,2,6,2,2/3
6,2,6,5,1/2
6,2,6,6,1/3
6,2,7,0,2/3
6,2,7,2,4/3
6,2,7,4,3/2
6,2,7,5,5/2
6,2,7,6,5/3
6,2,8,0,-5/6
6,2,8,7,-7/4
6,2,9,1,-1/5
6,2,9,6,1/2
6,2,9,8,-21/10
6,2,10,0,-1/2
6,2,10,1,-1/2
6,2,10,2,-5/3
6,2,10,6,1/6
6,2,10,8,-3/2
6,2,11,0,16/3
6,2,11,1,-8/5
6,2,11,2,-4
6,2,11,3,5/3
6,2,11,5,100/3
6,2,11,6,24
6,2,11,7,10/3
6,2,11,8,16/5
6,2,11,9,-36/5
6,2,11,10,80/3
6,2,11,11,40/3
6,2,12,7,1
6,2,12,9,-6/5
6,2,13,0,-1/3
6,2,13,1,2/15
6,2,13,2,2/3
6,2,13,3,-1/6
6,2,13,5,-3
6,2,13,6,-31/15
6,2,13,8,1/5
6,2,13,9,1
6,2,13,10,-4
6,2,13,11,-4/3
6,2,14,0,1/9
6,2,14,1,-2/15
6,2,14,2,-5/3
6,2,14,3,1/6
6,2,14,4,-2
6,2,14,5,13/6
6,2,14,6,26/15
6,2,14,8,4/5
6,2,14,10,2/3
6,2,14,11,4/3
6,2,15,0,-5/6
6,2,15,1,-1/6
6,2,15,2,-7/6
6,2,15,4,3/2
6,2,16,2,1
6,2,17,4,1
6,2,18,0,-2/3
6,2,19,1,-2/3
6,2,20,0,-1/2
