D,z,target_index,basis_index,coeff
13,-1,20,0,-11/90
13,-1,20,1,-11/90
13,-1,20,2,-4/9
13,-1,21,2,-11/20
13,-1,22,2,-11/45
13,-1,22,4,-4/9
13,-1,23,0,-1/20
13,-1,23,2,-1/2
13,-1,23,5,-21/11
13,-1,23,6,-5/11
13,-1,24,0,-11/20
13,-1,25,5,1
13,-1,27,2,-11/20
13,-1,27,6,-1/10
13,-1,28,0,121/450
13,-1,28,2,-22/45
13,-1,28,4,-4/9
13,-1,28,5,62/45
13,-1,28,6,4/45
13,-1,29,1,-11/62
13,-1,29,5,10/11
13,-1,29,6,-2/341
13,-1,29,7,-10/11
13,-1,29,8,1020/341
13,-1,30,0,319/3600
13,-1,30,1,11/180
13,-1,30,2,2/9
13,-1,30,5,31/22
13,-1,30,6,1/11
13,-1,30,7,-279/440
13,-1,30,8,47/22
13,-1,31,7,1
13,-1,33,0,121/400
13,-1,33,7,31/40
13,-1,34,1,-121/620
13,-1,34,5,1
13,-1,34,6,6/31
13,-1,34,8,40/31
13,-1,35,8,1
13,-1,37,0,121/1800
13,-1,37,1,121/3420
13,-1,37,2,11/45
13,-1,37,5,31/190
13,-1,37,6,1/95
13,-1,37,8,29/38
13,-1,38,0,-2299/3600
13,-1,38,1,-4961/11400
13,-1,38,3,-2/405
13,-1,38,5,-2077/1710
13,-1,38,6,-67/855
13,-1,38,7,-31/40
13,-1,38,8,67/38
13,-1,38,9,1
13,-1,38,10,14/5
13,-1,38,11,1
13,-1,39,9,1
13,1,0,0,271/160
13,1,0,1,117953/282720
13,1,0,2,-123/40
13,1,0,3,17/990
13,1,0,5,49583/5016
13,1,0,6,48617/32395
13,1,0,7,10/11
13,1,0,8,-162121/51832
13,1,0,9,-4083/682
13,1,0,10,1689/88
13,1,0,11,459/220
13,1,1,0,-3641/2160
13,1,1,1,-30371/41040
13,1,1,2,239/540
13,1,1,3,-23/1485
13,1,1,4,130/99
13,1,1,5,-25699/2508
13,1,1,6,-1816/1045
13,1,1,8,-2837/836
13,1,1,9,9/11
13,1,1,10,-261/44
13,1,1,11,-207/110
13,1,2,2,1
13,1,2,4,-3/2
13,1,3,0,-11/40
13,1,3,1,-11/40
13,1,3,2,33/40
13,1,4,0,-11/54
13,1,4,1,-11/54
13,1,4,2,-7/54
13,1,4,4,10/9
13,1,5,0,-1/40
13,1,5,2,43/40
13,1,5,5,-21/22
13,1,5,6,3/220
13,1,6,0,-11/40
13,1,6,2,33/40
13,1,6,5,1/2
13,1,6,6,3/20
13,1,7,0,121/180
13,1,7,2,121/180
13,1,7,4,10/9
13,1,7,5,31/9
13,1,7,6,17/30
13,1,8,0,-3/5
13,1,8,7,-21/11
13,1,9,1,-11/62
13,1,9,6,51/341
13,1,9,8,-840/341
13,1,10,0,-11/54
13,1,10,1,-11/54
13,1,10,2,-427/540
13,1,10,6,9/110
13,1,10,8,-20/11
13,1,11,0,1111/400
13,1,11,1,81191/141360
13,1,11,2,-33/20
13,1,11,3,1/45
13,1,11,5,16709/1140
13,1,11,6,14733/5890
13,1,11,7,31/10
13,1,11,8,-649/2356
13,1,11,9,-153/31
13,1,11,10,309/20
13,1,11,11,27/10
13,1,12,7,1
13,1,12,9,-60/31
13,1,13,0,-121/720
13,1,13,1,-3509/41040
